KID,BARCODE,FACILITY,AISLE,COLUMN,ROW,TOP,BOTTOM,CORE_TYPE,COMMENTS
"1001218398","118251","North Lawrence","34","4","2","0","0","",""
"1001218694","146824","North Lawrence","29","2","7","3111","3114","",""
"1001218694","146825","North Lawrence","29","2","7","3114","3117","",""
"1001219119","133415","Lawrence","B","D","1","3631.4","3633.2","",""
"1006513468","512433","Lawrence","0","0","0","0","0","CUTTINGS","Basement cuttings collection sample ID: KSEL-008; stored in Parker 17, drawer KSMG; no indication of depth."
"1001217705","129030","North Lawrence","27","4","6","0","0","",""
"1001219119","133421","Lawrence","B","D","1","3615.4","3618.2","",""
"1001219119","133422","Lawrence","B","D","1","3601.5","3604.1","","Also contains end clippings at: 3581.3, 3582.9, 3584.4, 3589.7, 3591.9, 3595.4, 3596.7, 3597.9, 3598.9, 3599.5, 3602.2, 3604.5, 3605.5, 3607.8, 3609.4, 3610.2, 3612.4"
"1001219119","133416","Lawrence","B","D","1","3624","3626.5","",""
"1001219119","133417","Lawrence","B","D","1","3609.6","3612.5","",""
"1001219119","133418","Lawrence","B","D","1","3599","3605.5","",""
"1001219119","133419","Lawrence","B","D","1","3581","3582","",""
"1001219119","133420","Lawrence","B","D","1","3628.9","3631.4","","Also contains end clippings at:
3614.4, 3616.7, 3617.5, 3620.1, 3621.1, 3622.5, 3623.6, 3624.8, 3625.9, 3626.9, 3629.2, 3630.6, 3631.4, 3632.9"
"1006040160","105443","North Lawrence","29","4","2","3426","3433","",""
"1006040160","105444","North Lawrence","29","4","2","3433","3437","",""
"1001219119","510014","Lawrence","B","C","4","3581.5","3633.2","SAMPLES","Samples at depths: 3581.5, 3583, 3589.9, 3590.2, 3592.2, 3597.9, 3598, 3599, 3606.6, 3607.9, 3611.3, 3617.7, 3618, 3618.8, 3621.1, 3622.6, 3623.4, 3624.4, 3626.5, 3629.6, 3631.4, 3632.3, 3633.2"
"1001219119","510015","Lawrence","B","C","4","3581.5","3633.2","THIN SECTION","Thin Sections at: 3581.5a, 3581.5b, 3583, 3584.2, 3589.9, 3590.2, 3592.2a, 3592.2b, 3597.9, 3598, 3599a, 3599b, 3606.6, 3607.9, 3611.3, 3617.7, 3618, 3618.8, 3621.1, 3622.6a, 3622.2b, 3623.4, 3624.4, 3626.5, 3627.3, 3629.6, 3632.3, 3631.4, 3633.2"
"1001219119","133408","Lawrence","B","D","1","3595.5","3598","",""
"1001219119","133409","Lawrence","B","D","1","3587.3","3590.3","",""
"1001219119","133410","Lawrence","B","D","1","3598","3599","",""
"1001219119","133411","Lawrence","B","D","1","3584.5","3587.3","",""
"1001219119","133412","Lawrence","B","D","1","3621","3624","",""
"1001219119","133413","Lawrence","B","D","1","3606.8","3609.6","",""
"1001219119","133414","Lawrence","B","D","1","3582","3584.5","",""
"1001219119","133406","Lawrence","B","D","1","3593.1","3595.5","",""
"1001219119","133407","Lawrence","B","D","1","3590.3","3593.1","",""
"1001217816","119839","North Lawrence","26","4","1","3000","3480","",""
"1001219119","219170","Lawrence","B","D","1","3626.5","3628.9","",""
"1001219119","219171","Lawrence","B","D","1","3612.5","3615.4","",""
"1006040160","214609","North Lawrence","36","4","7","3415","3419.8","",""
"1001219119","133404","Lawrence","B","D","1","3618.2","4776","","Bocx contains butt from 3618.2-3621.2
And plugs at 4744.5,4746.3, 4760.1, 4761.36, 4767.5, 4776.9"
"1001219119","133405","Lawrence","B","D","1","3604.1","3606.8","",""
"1006040160","105442","North Lawrence","29","4","2","3419","3426","",""
"1002910588","218530","North Lawrence","16","2","7","3692","0","","THIS BOX CONTAINS 3(THREE) GLASS JARS OF CORE PLUGS AT THIS DEPTH--THERE IS NO BOTTOM DEPTH INDICATED"
"1001215615","218531","North Lawrence","16","2","7","3658","0","","THIS BOX CONTAINS 1(ONE) GLASS JAR OF CORE PLUGS AT THIS DEPTH--THERE IS NO BOTTOM DEPTH INDICATED"
"1001215622","218276","North Lawrence","16","2","7","3660","0","","THIS BOX CONTAINS 1(ONE) GLASS JAR OF CORE PLUGS AT THIS DEPTH. THERE IS NO BOTTOM DEPTH EVIDENT."
"1001215611","218279","North Lawrence","16","2","7","3659","0","","THIS BOX CONTAINS 1(ONE) GLASS JAR OF CORE PLUGS AT THIS DEPTH. THERE IS NO BOTTOM DEPTH EVIDENT."
"1001218652","118237","North Lawrence","34","4","1","0","0","",""
"1001217705","128952","North Lawrence","27","4","6","0","0","",""
"1001217705","128953","North Lawrence","27","4","6","0","0","",""
"1001217705","128954","North Lawrence","27","4","6","0","0","",""
"1001217705","128951","North Lawrence","27","4","6","0","0","",""
